percentAll,count,totalCount,percentReactive,cytCombo,id,group,stim,concGroup,cell
0,0,5900,0,TNFa-IL6-IL12+IFNa+,a2010,adult,LPS,3,mDC
0.12,7,5900,0.474849095,TNFa-IL6-IL12+IFNa-,a2010,adult,LPS,3,mDC
0,0,5900,0,TNFa-IL6-IL12-IFNa+,a2010,adult,LPS,3,mDC
74.72,4408,5900,NA,TNFa-IL6-IL12-IFNa-,a2010,adult,LPS,3,mDC
0,0,950,0,TNFa+IL6+IL12+IFNa+,a2012,adult,LPS,3,mDC
1.05,10,950,2.874639769,TNFa+IL6+IL12+IFNa-,a2012,adult,LPS,3,mDC
0.21,2,950,0.574927954,TNFa+IL6+IL12-IFNa+,a2012,adult,LPS,3,mDC
8.42,80,950,23.0518732,TNFa+IL6+IL12-IFNa-,a2012,adult,LPS,3,mDC
0,0,950,0,TNFa+IL6-IL12+IFNa+,a2012,adult,LPS,3,mDC
0.32,3,950,0.876080692,TNFa+IL6-IL12+IFNa-,a2012,adult,LPS,3,mDC
0.21,2,950,0.574927954,TNFa+IL6-IL12-IFNa+,a2012,adult,LPS,3,mDC
7.26,69,950,19.87608069,TNFa+IL6-IL12-IFNa-,a2012,adult,LPS,3,mDC
0,0,950,0,TNFa-IL6+IL12+IFNa+,a2012,adult,LPS,3,mDC
0.11,1,950,0.301152738,TNFa-IL6+IL12+IFNa-,a2012,adult,LPS,3,mDC
1.47,14,950,4.024495677,TNFa-IL6+IL12-IFNa+,a2012,adult,LPS,3,mDC
4.84,46,950,13.25072046,TNFa-IL6+IL12-IFNa-,a2012,adult,LPS,3,mDC
1.58,15,950,4.325648415,TNFa-IL6-IL12+IFNa+,a2012,adult,LPS,3,mDC
0.42,4,950,1.149855908,TNFa-IL6-IL12+IFNa-,a2012,adult,LPS,3,mDC
10.63,101,950,29.10230548,TNFa-IL6-IL12-IFNa+,a2012,adult,LPS,3,mDC
63.48,603,950,NA,TNFa-IL6-IL12-IFNa-,a2012,adult,LPS,3,mDC
0.02,1,4189,0.046988222,TNFa+IL6+IL12+IFNa+,a2013,adult,LPS,3,mDC
5.9,247,4189,13.86152552,TNFa+IL6+IL12+IFNa-,a2013,adult,LPS,3,mDC
0.17,7,4189,0.399399888,TNFa+IL6+IL12-IFNa+,a2013,adult,LPS,3,mDC
14.35,601,4189,33.71404936,TNFa+IL6+IL12-IFNa-,a2013,adult,LPS,3,mDC
0.05,2,4189,0.117470555,TNFa+IL6-IL12+IFNa+,a2013,adult,LPS,3,mDC
3.77,158,4189,8.857279865,TNFa+IL6-IL12+IFNa-,a2013,adult,LPS,3,mDC
0.02,1,4189,0.046988222,TNFa+IL6-IL12-IFNa+,a2013,adult,LPS,3,mDC
